node,received,sent,energy
node111,24,0.0,12.0
node118,24,0.0,12.0
node114,24,0.0,12.0
node119,24,0.0,12.0
node108,24,0.0,12.0
node117,24,0.0,12.0
node113,24,0.0,12.0
node1,21,0.0,10.5
node63,20,0.0,10.0
node85,20,0.0,10.0
node91,20,0.0,10.0
node82,20,0.0,10.0
node74,20,0.0,10.0
node97,20,0.0,10.0
node102,20,0.0,10.0
node90,20,0.0,10.0
node75,20,0.0,10.0
node61,20,0.0,10.0
node77,20,0.0,10.0
node88,20,0.0,10.0
node65,20,0.0,10.0
node60,20,0.0,10.0
node94,20,0.0,10.0
node59,20,0.0,10.0
node71,20,0.0,10.0
node93,20,0.0,10.0
node86,20,0.0,10.0
node66,20,0.0,10.0
node50,20,0.0,10.0
node95,20,0.0,10.0
node109,20,0.0,10.0
node105,20,0.0,10.0
node98,20,0.0,10.0
node100,20,0.0,10.0
node79,20,0.0,10.0
node99,20,0.0,10.0
node73,20,0.0,10.0
node52,20,0.0,10.0
node58,20,0.0,10.0
node103,20,0.0,10.0
node81,20,0.0,10.0
node70,20,0.0,10.0
node72,20,0.0,10.0
node89,20,0.0,10.0
node80,20,0.0,10.0
node87,20,0.0,10.0
node69,20,0.0,10.0
node83,20,0.0,10.0
node57,19,0.0,9.5
node34,16,0.0,8.0
node56,16,0.0,8.0
node31,16,0.0,8.0
node33,16,0.0,8.0
node41,16,0.0,8.0
node54,16,0.0,8.0
node42,16,0.0,8.0
node43,16,0.0,8.0
node32,16,0.0,8.0
node48,16,0.0,8.0
node49,16,0.0,8.0
node53,16,0.0,8.0
node45,16,0.0,8.0
node15,16,0.0,8.0
node11,16,0.0,8.0
node10,16,0.0,8.0
node40,16,0.0,8.0
node13,16,0.0,8.0
node16,16,0.0,8.0
node26,16,0.0,8.0
node44,16,0.0,8.0
node25,16,0.0,8.0
node21,16,0.0,8.0
node9,16,0.0,8.0
node18,16,0.0,8.0
node30,16,0.0,8.0
node20,16,0.0,8.0
node6,16,0.0,8.0
node24,16,0.0,8.0
node19,16,0.0,8.0
node27,16,0.0,8.0
node37,16,0.0,8.0
node23,16,0.0,8.0
node51,16,0.0,8.0
node55,16,0.0,8.0
node22,16,0.0,8.0
node39,16,0.0,8.0
node46,16,0.0,8.0
node14,16,0.0,8.0
node47,16,0.0,8.0
node35,16,0.0,8.0
node38,16,0.0,8.0
node17,16,0.0,8.0
node12,16,0.0,8.0
node28,16,0.0,8.0
node29,16,0.0,8.0
node36,16,0.0,8.0
node8,15,0.0,7.5
node68,14,0.0,7.0
node7,13,0.0,6.5
node3,12,0.0,6.0
node4,12,0.0,6.0
node2,12,0.0,6.0
node5,12,0.0,6.0
node67,9,0.0,4.5
node64,9,0.0,4.5
node110,6,0.0,3.0
node120,6,0.0,3.0
node116,6,0.0,3.0
node107,6,0.0,3.0
node92,5,0.0,2.5
node112,5,0.0,2.5
node106,5,0.0,2.5
node104,5,0.0,2.5
node76,5,0.0,2.5
node101,5,0.0,2.5
node96,5,0.0,2.5
node62,5,0.0,2.5
node115,3,0.0,1.5
node78,2,0.0,1.0
node84,2,0.0,1.0
